rank,uid,title,year,venue,url,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
1,arxiv:2506.22827v3,Hierarchical Vision-Language Planning for Multi-Step Humanoid Manipulation,2025,arXiv,http://arxiv.org/abs/2506.22827v3,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
2,arxiv:2501.02116v2,"Humanoid Locomotion and Manipulation: Current Progress and Challenges in Control, Planning, and Learning",2025,arXiv,http://arxiv.org/abs/2501.02116v2,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
3,arxiv:2512.01946v3,Scaling Cross-Environment Failure Reasoning Data for Vision-Language Robotic Manipulation,2025,arXiv,http://arxiv.org/abs/2512.01946v3,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
4,arxiv:2407.03705v2,Distilling Contact Planning for Fast Trajectory Optimization in Robot Air Hockey,2024,arXiv,http://arxiv.org/abs/2407.03705v2,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
5,doi:10.1109/iros.2014.6943014,Posture and balance control for humanoid robots in multi-contact scenarios based on Model Predictive Control,2014,,https://doi.org/10.1109/iros.2014.6943014,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
6,doi:10.46242/jstiuh.v36i03.4078,BALANCE MOTION PLANNING FOR HUMANOID ROBOT BASED ON 3D INVERTED PENDULUM MODEL,2022,Journal of Science and Technology - IUH,https://doi.org/10.46242/jstiuh.v36i03.4078,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
7,arxiv:2503.06060v1,STAR: A Foundation Model-driven Framework for Robust Task Planning and Failure Recovery in Robotic Systems,2025,arXiv,http://arxiv.org/abs/2503.06060v1,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
8,doi:10.1142/s2972335325500073,STAR: A Foundation Model-Driven Framework for Robust Task Planning and Failure Recovery in Robotic Systems,2025,International Journal of Artificial Intelligence and Robotics Research,https://doi.org/10.1142/s2972335325500073,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
9,doi:10.1007/s10846-024-02117-z,Humanoid Robot Motion Planning Approaches: a Survey,2024,Journal of Intelligent & Robotic Systems,https://doi.org/10.1007/s10846-024-02117-z,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
10,arxiv:2601.07821v1,Failure-Aware RL: Reliable Offline-to-Online Reinforcement Learning with Self-Recovery for Real-World Manipulation,2026,arXiv,http://arxiv.org/abs/2601.07821v1,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
11,arxiv:2406.06005v2,WoCoCo: Learning Whole-Body Humanoid Control with Sequential Contacts,2024,arXiv,http://arxiv.org/abs/2406.06005v2,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
12,doi:10.1177/02783649221120029,"Constraint-consistent task-oriented whole-body robot formulation: Task, posture, constraints, multiple contacts, and balance",2022,The International Journal of Robotics Research,https://doi.org/10.1177/02783649221120029,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
13,doi:10.1609/aaai.v40i8.37577,TCoT: Trajectory Chain-of-Thoughts for Robotic Manipulation with Failure Recovery in Vision-Language-Action Model,2026,Proceedings of the AAAI Conference on Artificial Intelligence,https://doi.org/10.1609/aaai.v40i8.37577,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
14,doi:10.1109/icra.2015.7139995,Whole-body pushing manipulation with contact posture planning of large and heavy object for humanoid robot,2015,2015 IEEE International Conference on Robotics and Automation (ICRA),https://doi.org/10.1109/icra.2015.7139995,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
15,doi:10.1109/lra.2018.2854958,Sequence-to-Sequence Model for Trajectory Planning of Nonprehensile Manipulation Including Contact Model,2018,IEEE Robotics and Automation Letters,https://doi.org/10.1109/lra.2018.2854958,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
16,doi:10.1080/01691864.2016.1266965,Global planning of whole-body manipulation by humanoid robot based on transition graph of object motion and contact switching,2017,Advanced Robotics,https://doi.org/10.1080/01691864.2016.1266965,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
17,doi:10.1016/j.robot.2013.01.008,Planning contact points for humanoid robots,2013,Robotics and Autonomous Systems,https://doi.org/10.1016/j.robot.2013.01.008,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
18,doi:10.1109/iros.2017.8202227,Multi-contact balancing of humanoid robots in confined spaces: Utilizing knee contacts,2017,,https://doi.org/10.1109/iros.2017.8202227,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
19,arxiv:2605.27972v1,Simultaneous Contact Selection and Planning for Contact-Rich Manipulation with Cascaded Optimization,2026,arXiv,http://arxiv.org/abs/2605.27972v1,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
20,arxiv:2508.14099v1,Task and Motion Planning for Humanoid Loco-manipulation,2025,arXiv,http://arxiv.org/abs/2508.14099v1,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
21,arxiv:2412.02676v2,Planning-Guided Diffusion Policy Learning for Generalizable Contact-Rich Bimanual Manipulation,2024,arXiv,http://arxiv.org/abs/2412.02676v2,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
22,doi:10.54254/2755-2721/2025.gl25269,Control Strategies for Embodied Humanoid Robots: Reinforcement Learning vs. Multi-Contact Planning,2025,Applied and Computational Engineering,https://doi.org/10.54254/2755-2721/2025.gl25269,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
23,doi:10.1177/0278364910386985,Randomized multi-modal motion planning for a humanoid robot manipulation task,2011,The International Journal of Robotics Research,https://doi.org/10.1177/0278364910386985,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
24,arxiv:2504.19341v1,PolyTouch: A Robust Multi-Modal Tactile Sensor for Contact-rich Manipulation Using Tactile-Diffusion Policies,2025,arXiv,http://arxiv.org/abs/2504.19341v1,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
25,arxiv:2011.01552v2,Efficient Sampling of Transition Constraints for Motion Planning under Sliding Contacts,2020,arXiv,http://arxiv.org/abs/2011.01552v2,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
26,arxiv:2606.09630v1,ReCoVLA: VLM-Guided Reward Compilation for Failure Recovery in Vision-Language-Action Policies,2026,arXiv,http://arxiv.org/abs/2606.09630v1,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
27,doi:10.1109/iros.2006.282154,Planning support contact-points for humanoid robots and experiments on HRP-2,2006,,https://doi.org/10.1109/iros.2006.282154,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
28,arxiv:2209.08662v2,Multi-contact MPC for Dynamic Loco-manipulation on Humanoid Robots,2022,arXiv,http://arxiv.org/abs/2209.08662v2,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
29,arxiv:2605.27724v1,HumanoidMimicGen: Data Generation for Loco-Manipulation via Whole-Body Planning,2026,arXiv,http://arxiv.org/abs/2605.27724v1,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
30,doi:10.1609/icaps.v20i1.13436,Combined Task and Motion Planning for Mobile Manipulation,2010,Proceedings of the International Conference on Automated Planning and Scheduling,https://doi.org/10.1609/icaps.v20i1.13436,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
31,doi:10.54254/2755-2721/2026.34075,Adaptive Instance-Wise Budget Allocation for Sampling-Based Motion Planning,2026,Applied and Computational Engineering,https://doi.org/10.54254/2755-2721/2026.34075,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
32,arxiv:2011.07132v2,Region-Based Planning for 3D Within-Hand-Manipulation via Variable Friction Robot Fingers and Extrinsic Contacts,2020,arXiv,http://arxiv.org/abs/2011.07132v2,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
33,arxiv:2502.08378v2,Learning Humanoid Standing-up Control across Diverse Postures,2025,arXiv,http://arxiv.org/abs/2502.08378v2,Addresses humanoid contact planning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid contact budgeting keeps action-critical alternatives explicit until a physical observation collapses them.
